match_id,hero_0,hero_1,hero_2,hero_3,hero_4,hero_5,hero_6,hero_7,hero_8,hero_9,radiant_win
4145451813,88,22,121,44,63,74,21,6,68,108,True
4144980504,59,17,85,58,84,45,71,100,21,67,True
4142261418,110,93,106,121,63,70,119,7,17,12,True
4141848102,85,17,14,42,36,121,53,4,11,58,True
4141060019,19,41,11,14,22,36,121,26,70,74,False
4138868908,25,110,63,71,93,32,8,111,82,75,False
4138703303,14,75,78,95,17,31,44,70,32,56,False
4138160214,14,6,74,63,68,121,61,49,104,4,True
4138063706,22,121,42,25,63,37,120,27,70,14,False
4137946408,21,34,9,58,70,67,14,114,17,31,False
4137802411,62,73,6,86,110,70,42,32,119,45,True
4136402807,7,56,34,99,30,93,23,64,102,74,False
4135676712,82,111,74,5,67,44,3,63,7,22,True
4135672404,83,21,5,22,42,100,68,109,104,17,True
4135470003,36,105,5,74,48,106,119,42,8,14,True
4132554018,9,6,83,17,75,14,110,97,44,21,False
4131579306,67,21,30,74,7,36,44,90,12,14,False
4131249818,2,6,121,17,30,114,119,86,13,9,True
4131096806,46,112,1,50,42,6,63,5,104,17,True
4126771700,64,121,21,44,63,41,107,27,25,7,False
4125681017,11,12,121,110,22,73,14,95,63,86,False
4124104700,19,37,25,66,109,56,53,6,64,22,True
4123734317,85,48,101,63,88,74,112,41,104,7,True
4122285015,95,27,20,74,53,73,36,84,75,41,False
4121184805,48,98,119,14,78,32,12,110,17,71,False
4120950805,4,85,2,64,113,41,73,84,65,83,True
4120182815,67,121,64,96,74,11,26,120,14,8,False
4119069804,42,106,47,63,84,32,41,55,46,121,True
4118925906,91,47,119,56,110,96,70,45,75,121,False
4115899614,25,12,22,119,63,42,7,109,5,74,True
4115480100,53,12,83,19,119,27,36,42,14,110,False
4115481205,31,45,44,97,114,32,35,96,36,74,False
4113873407,14,51,12,79,45,70,20,59,63,121,False
4112347712,32,21,14,119,50,84,112,120,107,56,False
4112028011,67,106,19,7,121,75,20,114,42,4,False
4111265204,12,9,17,23,75,114,34,16,104,19,True
4109884117,67,33,14,30,63,42,70,120,61,79,False
